f (Hz),Re(Z),Im(Z)
118.4326171875,2268863.004208996,-24277706.7845972
121.124267578125,2206825.698210895,-23854981.37504712
123.81591796875,2088725.491332933,-23276064.00204498
126.507568359375,1987049.203709019,-22726915.38979904
129.19921875,1921434.664714269,-22212119.08054316
131.890869140625,1899681.293880506,-21565539.34557703
134.58251953125,2026713.232463401,-20925960.12852197
137.274169921875,2362755.079167303,-20624687.89708988
139.9658203125,2453786.780409968,-20620898.83227472
142.657470703125,2178685.369534299,-20448418.12144872
145.34912109375,1860432.958669937,-20178748.31397855
148.040771484375,1651680.680999612,-19597998.86695855
150.732421875,1601941.079873318,-19094778.13633979
153.424072265625,1574393.212189596,-18731223.62223722
156.11572265625,1551120.638297939,-18314824.92520235
158.807373046875,1549189.503455547,-17926603.85806701
161.4990234375,1585529.962144398,-17574210.47498546
164.190673828125,1646883.794254098,-17288731.8996554
166.88232421875,1634248.628360901,-17091593.24303471
169.573974609375,1546787.989639215,-16866183.25066492
172.265625,1446201.513871177,-16561670.60934494
174.957275390625,1402150.848570779,-16233323.66659603
177.64892578125,1399150.596135122,-15962198.41648641
180.340576171875,1403627.559702785,-15705110.52275616
183.0322265625,1362641.107896332,-15494703.15998755
185.723876953125,1285892.054131581,-15268531.25959964
188.41552734375,1224681.888894577,-15010551.69835353
191.107177734375,1152337.887005818,-14728046.72146167
193.798828125,1137250.574582,-14442518.50982399
196.490478515625,1154037.131204453,-14195340.35192616
199.18212890625,1138920.144066611,-13959943.84288461
201.873779296875,1114704.053488362,-13736046.18711618
204.5654296875,1118893.552533195,-13516440.12997064
207.257080078125,1137080.152251414,-13316545.82222544
209.94873046875,1105131.870226746,-13144445.09354945
212.640380859375,1052245.018504103,-12950284.53136341
215.33203125,1008963.984580263,-12731886.98412383
218.023681640625,1001683.584834471,-12522159.13291436
220.71533203125,1010088.293879752,-12336675.3695422
223.406982421875,1005130.39292558,-12151538.31988057
226.0986328125,986130.4536409199,-11986237.93450734
228.790283203125,956695.1487057317,-11811275.53571223
231.48193359375,946232.4079160233,-11609418.27831934
234.173583984375,949318.114916499,-11430261.0645043
236.865234375,953448.4727334033,-11286868.67018955
