f (Hz),Re(Z),Im(Z)
118.4326171875,42188.800715646,1989188.727322027
121.124267578125,36133.57811111832,2065685.003233004
123.81591796875,51030.99336142187,2133629.981354248
126.507568359375,40620.42725355888,2184612.285756482
129.19921875,12555.9333419981,2281253.506359458
131.890869140625,41958.47749666292,2383793.711956575
134.58251953125,56690.38788935632,2449797.240465421
137.274169921875,68996.66428527456,2534391.276440922
139.9658203125,72921.68011542025,2599285.799373368
142.657470703125,72988.80671054943,2673259.490968199
145.34912109375,63398.56940201862,2762379.05205784
148.040771484375,47492.53728987286,2854638.199224941
150.732421875,43306.93959357348,2969925.896635049
153.424072265625,58520.26304171021,3062015.737604892
156.11572265625,50203.47440039905,3167040.473131536
158.807373046875,31371.67789609312,3291346.632655248
161.4990234375,25173.10029614313,3452716.851127648
164.190673828125,54464.81790160974,3627902.965765983
166.88232421875,116811.0275924704,3764480.282072803
169.573974609375,158633.266640412,3866882.510473235
172.265625,178402.8597533397,4005163.883681928
174.957275390625,201723.75570878,4150399.640771925
177.64892578125,238609.9825562696,4286946.27854516
180.340576171875,271051.7599883969,4433111.134525561
183.0322265625,285718.3074715061,4551130.3485558
185.723876953125,270062.0902160007,4709252.035328061
188.41552734375,234972.1950893301,4903054.88134325
191.107177734375,218830.9787613945,5152823.290677823
193.798828125,226638.3570535821,5408565.564784305
196.490478515625,251291.2659619639,5657699.512112774
199.18212890625,296700.8192299486,5978735.319758787
201.873779296875,376919.3305000624,6265760.43816316
204.5654296875,437713.6059284345,6565489.062796637
207.257080078125,473186.0496807589,6911146.792213084
209.94873046875,517934.6653621633,7247952.751452769
212.640380859375,517125.9257483625,7678680.760972985
215.33203125,531958.3227026622,8193533.333253362
218.023681640625,635897.5268213062,8816253.70434314
220.71533203125,806235.1814680316,9455499.412210137
223.406982421875,982817.3158671347,10099287.87062973
226.0986328125,1178435.586000083,10856882.99666091
228.790283203125,1385756.913447963,11722614.70668946
231.48193359375,1643095.951757065,12743722.48611031
234.173583984375,1952366.835736478,13927269.95982541
236.865234375,2344562.622789763,15378334.91134034
239.556884765625,2836079.210441037,17250144.95444489
242.24853515625,3629959.622056332,19645303.96024092
244.940185546875,4934141.573025903,22780246.58705546
247.6318359375,6909806.515414062,26927045.78568447
250.323486328125,10652368.84492145,32564132.05232177
253.01513671875,17863624.22274031,40340639.09766677
255.706787109375,34106962.5133942,50366036.90251568
258.3984375,70651908.99960332,50935949.92383222
261.090087890625,106638483.1871188,-2904863.49907544
263.78173828125,66448388.36780395,-51599666.98545789
266.473388671875,32397248.00100028,-48456586.82583863
269.1650390625,17401979.57966338,-39272042.75518171
271.856689453125,10602231.7441257,-31678986.23896091
274.54833984375,7093809.034968484,-26251256.93114747
277.239990234375,5071280.449539643,-22312749.94405124
279.931640625,3811344.124626734,-19385011.12090798
282.623291015625,3018982.881929718,-17052382.42407475
285.31494140625,2417594.898355316,-15258733.95116048
288.006591796875,2003647.18386531,-13825552.02579126
290.6982421875,1667118.812429976,-12576130.54137032
293.389892578125,1434230.417014834,-11542644.61724678
296.08154296875,1222426.634762448,-10655217.95955923
298.773193359375,1016369.594650553,-9894933.82029536
301.46484375,876144.9527071411,-9194293.859548299
304.156494140625,802994.185174523,-8573103.460270239
306.84814453125,735814.3105300799,-8048848.187231739
309.539794921875,675000.8371932694,-7593244.47601275
312.2314453125,614008.8449950757,-7188307.805982925
314.923095703125,561506.0749463231,-6834233.799884185
317.61474609375,469819.0228179339,-6508050.606300752
320.306396484375,381845.9544745059,-6144852.681031648
322.998046875,347761.0867140967,-5768251.132161057
325.689697265625,381363.0743842217,-5445949.779944513
328.38134765625,454368.7891734189,-5214918.196753294
331.072998046875,460125.7179972748,-5069391.43825703
